name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Maruti Baleno,Maruti,Baleno,Rajkot,2017,Petrol,49063,1,,,Hi-West-Amd,FALSE,Ahmedabad,Gujarat,9688,-13200,618000,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-rajkot-11450677797,01-11-2022
Maruti Alto 800,Maruti,Alto 800,Mumbai,2017,Petrol,3715,1,Manual,Hatchback,Hi-Andheri East,FALSE,Vasai,Maharashtra,12542,-100,303000,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-mumbai-10342373770,06-11-2022
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,Rajkot,2020,Petrol,31745,1,Manual,Hatchback,Hi-Vision2020 - Rajkot,FALSE,Rajkot,Gujarat,9688,-18400,681000,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-rajkot-15030491706,08-10-2022
Mahindra XUV 3OO,Mahindra,Xuv 3Oo,Patna,2021,Petrol,30488,1,,,Hi-Central Patna,FALSE,Patna,Bihar,9688,77700,1115000,https://www.cars24.com/buy-used-mahindra-xuv-3oo-2021-cars-patna-14406990763,08-10-2022
MG HECTOR,Mg,Hector,Kolkata,2019,Petrol,23953,1,Automatic,SUV,Hi-Kolkata,FALSE,Kolkata,West Bengal,13898,78800,1434000,https://www.cars24.com/buy-used-mg-hector-2019-cars-kolkata-11906698701,23-10-2022
Honda CRV,Honda,Crv,Mumbai,2015,Petrol,69419,1,Automatic,Luxury SUV,Mumbai-Pns,FALSE,Mumbai West,Maharashtra,19407,47600,1069000,https://www.cars24.com/buy-used-honda-crv-2015-cars-mumbai-10348399758,01-10-2022
Maruti IGNIS,Maruti,Ignis,Mumbai,2018,Petrol,41299,1,Manual,Hatchback,Mumbai-Pns,FALSE,Thane,Maharashtra,9688,20600,416799,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-mumbai-10387772775,02-11-2022
Hyundai i20,Hyundai,I20,New Delhi,2014,Petrol,50802,1,Manual,Hatchback,New Delhi-Pns,FALSE,Faridabad,Haryana,9688,20100,430000,https://www.cars24.com/buy-used-hyundai-i20-2014-cars-new-delhi-10049674713,15-11-2022
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Surat,2018,Petrol,6847,1,Automatic,Hatchback,Surat-Pns,FALSE,Surat,Gujarat,12542,26600,478000,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-surat-13565493736,07-08-2022
MG HECTOR,Mg,Hector,Mumbai,2020,Petrol,39656,1,Automatic,SUV,Hi-Premium Mumbai,FALSE,Panvel,Maharashtra,9688,38500,1662000,https://www.cars24.com/buy-used-mg-hector-2020-cars-mumbai-10327993719,01-07-2022
